,school_name,address,score,district,grade,lat,long
206,Rosedale,"2117 West 49th Street, Austin, TX 78756",1,Public district,PK-12,30.3198723,-97.740204
207,Pickle Elementary School,"1101 Wheatley Avenue, Austin, TX 78752",1,Public district,PK-5,30.3334079,-97.6938273
208,Texas School For The Deaf,"1102 South Congress Avenue, Austin, TX 78704",1,Public district,PK-12,30.2530439,-97.7511677
209,Tnc Campus (Texas Neurorehabilitat,"1106 West Dittmar Road, Austin, TX 78745",1,Public charter,K-12,30.1889586,-97.8058052
210,Premier High School At Travis,"1211 East Oltorf Street, Austin, TX 78704",1,Public charter,12-Sep,30.233839,-97.743258
211,Premier High School At Lanier,"1201 Payton Gin Road, Austin, TX 78758",1,Public charter,12-Sep,30.360485,-97.7078978
212,ACE Academy,"3901 Shoal Creek Boulevard, Austin, TX 78756",,Private,PK-8,30.3081556,-97.7472105
213,Allan Elementary School,"4900 Gonzales Street, Austin, TX 78702",,Public district,PK-5,30.2554633,-97.6978077
214,Leadership Academy,"2515 South Congress Avenue, Austin, TX 78704",,Public district,12-Jun,30.235637,-97.753665
215,Garza Independence High School,"1600 Chicon Street, Austin, TX 78702",,Public district,12-Sep,30.2773093,-97.7211962
216,Schoolhouse Academy,"13740 Research Blvd., Austin, TX 78750",,Private,K-2,30.4595967,-97.7948439
217,The Magellan International School,"7130 Chimney Corners, Austin, TX 78731",,Private,PK-8,30.358205,-97.7609462
218,Shoal Creek,"3501 Mills Avenue, Austin, TX 78731",,Public charter,K-12,30.3060405,-97.7483214
219,House Sparrows Academy ,"8432 Jamestown Drive, Austin, TX 78758",,Private,3-Jan,30.3553884,-97.709757
220,Sacred Heart Catholic School,"5911 Reicher Drive, Austin, TX 78723",,Private,PK-6,30.3047405,-97.675553
221,Cathedral School Of St Mary,"910 San Jacinto Boulevard, Austin, TX 78701",,Private,PK-8,30.2710783,-97.7394566
222,St Ignatius Martyr School,"120 West Oltorf Street, Austin, TX 78704",,Private,PK-8,30.239787,-97.7540606
223,St Austin Catholic School,"1911 San Antonio Street, Austin, TX 78705",,Private,PK-8,30.2830159,-97.7428229
224,St Louis School,"2114 Saint Joseph Boulevard, Austin, TX 78757",,Private,PK-8,30.3523193,-97.7308787
225,Veritas Academy,"Po Box 90517, Austin, TX 78709",,Private,PK-12,30.23,-97.85
226,AHB Community School,"4001 Speedway Ave, Austin, TX 78751",,Private,K-8,30.3031799,-97.7316113
